구어	SBRW1800000010.376	가리킬 시간은 되니까	가리키/VV+ㄹ/ETM 시간/NNG*은/JX 되/VV*니까/EC	가리킬/VV:DIC 시간/NNG*은/JX 되/VV*니까/EC	가/B-VV 리/I-VV 킬/I-VV:DIC @B@ 시/B-NNG 간/I-NNG 은/B-JX @B@ 되/B-VV 니/B-EC 까/I-EC	킬@I-VV:DIC=키/VV+ㄹ/ETM	-
구어	SARW1800001309.2239	가부장제는 나는 복구가 안 된다고 보고	가부장/NNG*제/XSN*는/JX 나/NP*는/JX 복구/NNG*가/JKS 안/MAG 되/VV+ㄴ/EC*다고/EC 보/VV*고/EC	가부장/NNG*제/XSN*는/JX 나/NP*는/JX 복구/NNG*가/JKS 안/MAG 된/VV:DIC*다고/EC 보/VV*고/EC	가/B-NNG 부/I-NNG 장/I-NNG 제/B-XSN 는/B-JX @B@ 나/B-NP 는/B-JX @B@ 복/B-NNG 구/I-NNG 가/B-JKS @B@ 안/B-MAG @B@ 된/B-VV:DIC 다/I-EC 고/I-EC @B@ 보/B-VV 고/B-EC	된|다/EC@B-VV:DIC=되/VV+ㄴ/EC	-
구어	SBRW1800000010.637	가족 같은 분위기나	가족/NNG 같/VA*은/ETM 분위기/NNG*나/JC	가족/NNG 같/VA*은/ETM 분위기/NNG*나/JC	가/B-NNG 족/I-NNG @B@ 같/B-VA 은/B-ETM @B@ 분/B-NNG 위/I-NNG 기/I-NNG 나/B-JC		-
구어	SBRW1800000309.465	갈라 주신 상태에서	갈르/VV+아/EC 주/VX*시/EP+ㄴ/ETM 상태/NNG*에서/JKB	갈라/VV:DIC 주/VX*신/EP:DIC 상태/NNG*에서/JKB	갈/B-VV 라/I-VV:DIC @B@ 주/B-VX 신/B-EP:DIC @B@ 상/B-NNG 태/I-NNG 에/B-JKB 서/I-JKB	라@I-VV:DIC=르/VV+아/EC 신@B-EP:DIC=시/EP+ㄴ/ETM	-
구어	SBRW1800000309.466	갈라서	갈르/VV+아/EC*서/EC	갈라/VV:DIC*서/EC	갈/B-VV 라/I-VV:DIC 서/I-EC	라|서/EC@I-VV:DIC=르/VV+아/EC	-
구어	SBRW1800000034.1419	갈라파고스	갈라파고스/NNP	갈라파고스/NNP	갈/B-NNP 라/I-NNP 파/I-NNP 고/I-NNP 스/I-NNP		-
구어	SBRW1800000022.797	감성적으로 그렇게 반응을 하기 때문에	감성/NNG*적/XSN*으로/JKB 그렇/VA*게/EC 반응/NNG*을/JKO 하/VV*기/ETN 때문/NNB*에/JKB	감성/NNG*적/XSN*으로/JKB 그렇/VA*게/EC 반응/NNG*을/JKO 하/VV*기/ETN 때문/NNB*에/JKB	감/B-NNG 성/I-NNG 적/B-XSN 으/B-JKB 로/I-JKB @B@ 그/B-VA 렇/I-VA 게/B-EC @B@ 반/B-NNG 응/I-NNG 을/B-JKO @B@ 하/B-VV 기/B-ETN @B@ 때/B-NNB 문/I-NNB 에/B-JKB		-
구어	SBRW1800000030.178	감정표현도 우리가 말을 통해서 다 하는 거죠	감정/NNG*표현/NNG*도/JX 우리/NP*가/JKS 말/NNG*을/JKO 통하/VV+아/EC*서/EC 다/MAG 하/VV*는/ETM 것/NNB+이/VCP*죠/EF	감정/NNG*표현/NNG*도/JX 우리/NP*가/JKS 말/NNG*을/JKO 통해/VV:DIC*서/EC 다/MAG 하/VV*는/ETM 거/NNB:DIC*죠/EF	감/B-NNG 정/I-NNG 표/B-NNG 현/I-NNG 도/B-JX @B@ 우/B-NP 리/I-NP 가/B-JKS @B@ 말/B-NNG 을/B-JKO @B@ 통/B-VV 해/I-VV:DIC 서/I-EC @B@ 다/B-MAG @B@ 하/B-VV 는/B-ETM @B@ 거/B-NNB:DIC 죠/B-EF	해|서/EC@I-VV:DIC=하/VV+아/EC 거|죠/EF@B-NNB:DIC=것/NNB+이/VCP	-
구어	SBRW1800000322.15	갑시다. 자기소개 하기.	가/VV+ㅂ/EF*시다/EF*./SF 자기소개/NNG 하/VV*기/ETN*./SF	갑/VV:DIC*시다/EF*./SF 자기소개/NNG 하/VV*기/ETN*./SF	갑/B-VV:DIC 시/I-EF 다/I-EF ./B-SF @B@ 자/B-NNG 기/I-NNG 소/I-NNG 개/I-NNG @B@ 하/B-VV 기/B-ETN ./B-SF	갑|시/EF@B-VV:DIC=가/VV+ㅂ/EF	-
구어	SBRW1800000087.71	갔는데요.	가/VV+았/EP*는데/EF*요/JX*./SF	갔/VV:DIC*는데/EF*요/JX*./SF	갔/B-VV:DIC 는/B-EF 데/I-EF 요/B-JX ./B-SF	갔|는/EF@B-VV:DIC=가/VV+았/EP	-
구어	SBRW1800000326.1169	강사 강사	강사/NNG 강사/NNG	강사/NNG 강사/NNG	강/B-NNG 사/I-NNG @B@ 강/B-NNG 사/I-NNG		-
구어	SBRW1800000003.662	같은 어둠 속을 헤매고 있거든요.	같/VA*은/ETM 어둠/NNG 속/NNG*을/JKO 헤매/VV*고/EC 있/VX*거든/EF*요/JX*./SF	같/VA*은/ETM 어둠/NNG 속/NNG*을/JKO 헤매/VV*고/EC 있/VX*거든/EF*요/JX*./SF	같/B-VA 은/B-ETM @B@ 어/B-NNG 둠/I-NNG @B@ 속/B-NNG 을/B-JKO @B@ 헤/B-VV 매/I-VV 고/B-EC @B@ 있/B-VX 거/B-EF 든/I-EF 요/B-JX ./B-SF		-
구어	SBRW1800000010.1065	같이 가고 싶어요	같이/MAG 가/VV*고/EC 싶/VX*어요/EF	같이/MAG 가/VV*고/EC 싶/VX*어요/EF	같/B-MAG 이/I-MAG @B@ 가/B-VV 고/B-EC @B@ 싶/B-VX 어/B-EF 요/I-EF		-
구어	SDRW1800000017.1091	걔 그만뒀대	걔/NP 그만두/VV+었/EP*대/EF	걔/NP 그만뒀/VV:DIC*대/EF	걔/B-NP @B@ 그/B-VV 만/I-VV 뒀/I-VV:DIC 대/B-EF	뒀|대/EF@I-VV:DIC=두/VV+었/EP	-
구어	SDRW1800000013.1158	거기 한번 가줘야 겠네	거기/NP 한번/MAG 가/VV+아/EC*주/VX+어/EC*야/EC 하/VX+겠/EP*네/EF	거기/NP 한번/MAG 가/VV:DIC*줘/VX:DIC*야/EC 겠/EP:DIC*네/EF	거/B-NP 기/I-NP @B@ 한/B-MAG 번/I-MAG @B@ 가/B-VV:DIC 줘/B-VX:DIC 야/I-EC @B@ 겠/B-EP:DIC 네/B-EF	가줘|야/EC@B-VV:DIC=가/VV+아/EC*주/VX+어/EC 겠|네/EF@B-EP:DIC=하/VX+겠/EP	-
구어	SDRW1800000025.461	거기 한번 알아볼까	거기/NP 한번/MAG 알아보/VV+ㄹ/EF*까/EF	거기/NP 한번/MAG 알아볼/VV:DIC*까/EF	거/B-NP 기/I-NP @B@ 한/B-MAG 번/I-MAG @B@ 알/B-VV 아/I-VV 볼/I-VV:DIC 까/I-EF	볼|까/EF@I-VV:DIC=보/VV+ㄹ/EF	-
구어	SBRW1800000116.407	거기를 갑자기 털어내고 갑자기 엠비과 반기문을 연결시키는 것은	거기/NP*를/JKO 갑자기/MAG 털/VV*어/EC*내/VX*고/EC 갑자기/MAG 엠비/NNP*과/JC 반기문/NNP*을/JKO 연결/NNG*시키/XSV*는/ETM 것/NNB*은/JX	거기/NP*를/JKO 갑자기/MAG 털/VV*어/EC*내/VX*고/EC 갑자기/MAG 엠비/NNP*과/JC 반기문/NNP*을/JKO 연결/NNG*시키/XSV*는/ETM 것/NNB*은/JX	거/B-NP 기/I-NP 를/B-JKO @B@ 갑/B-MAG 자/I-MAG 기/I-MAG @B@ 털/B-VV 어/B-EC 내/B-VX 고/B-EC @B@ 갑/B-MAG 자/I-MAG 기/I-MAG @B@ 엠/B-NNP 비/I-NNP 과/B-JC @B@ 반/B-NNP 기/I-NNP 문/I-NNP 을/B-JKO @B@ 연/B-NNG 결/I-NNG 시/B-XSV 키/I-XSV 는/B-ETM @B@ 것/B-NNB 은/B-JX		-
구어	SDRW1800000031.2512	거기를 갔어	거기/NP*를/JKO 가/VV+았/EP*어/EF	거기/NP*를/JKO 갔/VV:DIC*어/EF	거/B-NP 기/I-NP 를/B-JKO @B@ 갔/B-VV:DIC 어/B-EF	갔|어/EF@B-VV:DIC=가/VV+았/EP	-
